,Spot,Up,Down
8107,161.589996,243.05,243.05
8108,133.210007,212.87,212.87
8109,129.570007,161.59,161.59
8110,125.709999,140.0,133.21
8111,116.989998,149.97,149.97
8112,87.389999,150.03,150.03
8113,87.919998,119.86,119.86
8114,84.629997,87.48,87.48
8115,80.989998,87.92,87.92
8116,80.919998,84.63,84.63
8117,84.769997,80.99,80.99
8118,80.970001,87.0,80.92
8119,91.900002,95.76,95.76
8120,100.050003,87.11,87.11
8121,118.519997,91.9,91.9
8122,128.449997,100.05,100.05
8123,128.600006,170.0,121.43
8124,129.550003,170.0,141.48
8125,129.589996,201.08,201.08
8126,130.660004,200.06,200.06
8127,133.869995,159.69,159.69
8128,223.570007,350.0,175.35
8129,250.740005,300.0,209.78
8130,253.759995,300.0,223.57
8131,215.679993,256.91,256.91
8132,156.589996,253.76,151.0
8133,148.740005,215.68,151.0
8134,141.839996,156.59,133.0
8135,129.589996,166.82,133.0
8136,129.059998,150.05,150.05
8137,126.910004,129.59,129.59
8138,125.919998,129.06,129.06
8139,129.479996,126.91,126.91
8140,136.619995,125.92,125.92
8141,177.580002,129.48,120.0
8142,263.390015,136.62,127.5
8143,348.100006,177.58,129.0
8144,371.540009,263.39,263.39
8145,363.670013,348.1,165.94
8146,360.0,371.54,371.54
8147,353.01001,363.67,363.67
8148,339.869995,360.0,192.0
8149,322.880005,353.01,135.0
8150,322.670013,339.87,133.0
8151,456.769989,322.88,127.5
8152,626.059998,322.67,127.5
8153,520.690002,456.77,129.0
8154,350.049988,626.06,626.06
8155,317.339996,520.69,520.69
8156,263.170013,350.05,125.0
8157,199.0,317.34,125.0
8158,195.5,263.17,122.5
8159,162.100006,199.0,122.5
8160,131.449997,195.5,122.5
8161,119.949997,162.1,162.1
8162,114.900002,143.2,143.2
8163,114.610001,149.91,149.91
8164,131.009995,148.37,148.37
8165,145.449997,156.66,156.66
8166,210.059998,180.35,180.35
8167,289.179993,250.1,250.1
8168,449.940002,650.06,114.0
8169,395.0,1000.07,131.5
8170,331.399994,650.04,650.04
8171,331.589996,650.02,190.0
8172,307.01001,650.05,190.0
8173,287.049988,650.03,650.03
8174,294.269989,650.0,650.0
8175,307.399994,500.04,500.04
8176,364.359985,976.98,976.98
8177,298.679993,650.06,650.06
8178,292.0,500.07,500.07
8179,285.929993,400.06,138.0
8180,198.350006,1008.0,650.02
8181,177.429993,792.12,792.12
8182,122.529999,260.05,150.0
8183,91.360001,499.0,150.0
8184,85.459999,180.02,180.02
8185,77.639999,168.35,168.35
8186,69.959999,355.07,355.07
8187,66.080002,449.94,349.94
8188,79.949997,299.37,299.37
8189,92.019997,399.36,299.36
8190,117.459999,450.0,299.31
8191,174.279999,599.0,299.91
8192,227.960007,1200.0,355.07
8193,222.919998,999.0,550.06
8194,201.960007,1500.0,666.77
8195,204.589996,1500.0,550.08
8196,209.509995,1000.0,550.03
8197,214.729996,1000.0,629.59
8198,234.309998,900.0,544.41
8199,247.190002,817.77,523.06
8200,261.540009,2500.0,500.02
8201,292.0,2500.0,598.91
8202,260.089996,2500.0,648.82
8203,245.949997,2500.0,550.07
8204,151.399994,1500.0,550.0
8205,135.600006,985.0,645.83
8206,130.380005,300.0,259.97
8207,124.019997,1500.0,222.94
8208,117.019997,260.0,157.23
8209,114.489998,146.68,146.68
8210,114.010002,176.19,176.19
8211,114.540001,169.37,159.37
8212,115.690002,169.0,129.92
8213,125.279999,200.02,150.02
8214,241.729996,240.0,159.85
8215,308.200012,630.0,190.04
8216,338.290009,630.0,287.98
8217,346.200012,390.0,336.72
8218,338.98999,338.29,338.29
8219,340.0,346.2,140.0
8220,335.640015,338.99,140.0
8221,334.51001,340.0,209.0
8222,342.190002,335.64,335.64
