,Spot,Up,Down
1,48.189999,24.07,18.5
2,44.68,24.95,18.5
3,42.919998,24.35,24.35
4,40.389999,23.98,23.98
5,40.200001,23.72,23.72
6,39.630001,23.73,23.73
7,40.09,24.06,24.06
8,41.27,24.44,24.44
9,44.880001,24.93,24.93
10,45.0,24.9,24.9
11,47.200001,25.07,21.0
12,50.779999,25.63,21.0
13,45.490002,25.92,23.0
14,44.73,26.13,24.2
15,46.59,26.57,24.2
16,52.990002,27.3,24.2
17,60.259998,28.61,28.61
18,60.610001,30.25,30.25
19,60.360001,30.19,25.6
20,57.400002,28.82,25.6
21,53.860001,28.25,25.0
22,53.450001,27.32,24.0
23,49.720001,28.25,22.87
24,46.689999,27.01,22.87
25,42.43,25.64,22.64
26,41.09,25.59,21.97
27,40.0,24.91,21.0
28,37.549999,24.74,20.06
29,39.0,24.66,20.06
30,42.09,24.72,21.0
31,44.959999,24.92,21.0
32,48.450001,25.62,20.0
33,52.0,26.19,20.53
34,52.0,28.02,22.0
35,52.150002,27.65,22.0
36,55.950001,28.83,22.0
37,52.0,29.76,22.92
38,50.689999,28.62,23.0
39,53.450001,28.72,23.0
40,59.990002,36.73,24.0
41,62.0,46.05,25.0
42,63.080002,58.88,58.88
43,62.169998,60.51,60.51
44,60.029999,59.84,59.84
45,55.029999,40.15,40.15
46,52.25,29.5,27.38
47,48.450001,31.15,31.15
48,46.110001,27.91,27.91
49,41.59,25.94,25.94
50,37.209999,27.14,25.27
51,35.18,27.0,24.59
52,24.65,27.0,23.86
53,23.85,23.57,23.57
54,24.049999,23.49,23.49
55,24.799999,23.85,23.85
56,24.969999,24.05,24.05
57,25.65,24.8,23.0
58,26.0,24.97,22.0
59,26.889999,25.65,22.0
60,25.870001,26.0,22.0
61,25.83,26.07,22.0
62,26.02,25.87,20.48
63,26.5,25.83,20.06
64,33.27,26.02,20.06
65,43.959999,26.5,20.53
66,43.349998,28.05,23.0
67,27.92,28.53,28.53
68,27.559999,28.17,28.17
69,27.040001,27.92,27.92
70,26.18,27.56,24.5
71,24.92,28.12,24.0
72,24.66,26.18,24.0
73,24.049999,24.92,24.92
74,23.879999,24.66,20.0
75,24.030001,24.05,20.0
76,24.58,23.88,19.1
77,25.84,24.03,19.1
78,28.209999,24.58,20.06
79,49.759998,25.84,23.0
80,54.419998,28.21,24.0
81,55.689999,49.76,26.0
82,55.799999,94.08,54.42
83,58.27,70.0,50.72
84,57.52,67.2,55.4
85,56.529999,57.3,56.53
86,57.990002,52.07,52.07
87,58.029999,60.0,56.53
88,60.5,60.09,57.99
89,65.220001,60.48,58.03
90,60.049999,61.0,60.5
91,53.73,66.0,65.22
92,37.68,66.0,60.05
93,38.490002,63.17,53.73
94,30.950001,50.0,37.68
95,27.35,42.98,38.49
96,27.809999,35.0,30.95
97,27.450001,29.88,27.35
98,27.08,27.81,27.81
99,27.139999,27.45,27.45
100,27.790001,27.08,27.08
101,29.809999,28.0,27.14
102,35.779999,28.0,27.79
103,53.639999,31.5,29.81
104,60.0,37.0,35.78
105,60.119999,54.14,53.64
106,61.18,66.86,60.0
107,62.459999,66.86,60.12
108,61.48,70.0,61.18
109,62.290001,80.67,62.46
110,62.040001,80.67,61.48
111,62.509998,87.0,62.29
112,64.260002,87.0,62.04
113,65.599998,75.6,62.51
114,60.130001,75.0,64.26
115,54.66,75.0,65.6
116,40.779999,87.0,60.13
117,39.599998,87.0,54.66
118,32.060001,87.0,40.78
119,29.209999,87.0,39.6
120,29.83,64.47,32.06
121,28.719999,39.0,29.21
122,28.110001,35.0,29.83
123,27.98,35.0,28.72
124,28.16,35.0,28.11
125,29.0,34.0,27.98
126,30.719999,37.0,28.16
127,35.540001,37.0,29.0
128,39.18,40.0,30.72
129,41.880001,40.0,35.54
130,46.07,70.0,39.18
131,45.27,70.0,41.88
132,46.209999,66.07,46.07
133,47.349998,73.0,45.27
134,51.310001,76.68,46.21
135,54.900002,76.7,47.35
136,58.400002,76.89,51.31
137,59.93,76.87,54.9
138,55.669998,80.0,58.4
139,50.25,121.92,59.93
140,39.84,106.0,55.67
141,39.93,84.0,50.25
142,38.700001,84.0,39.84
143,32.5,84.0,39.93
144,43.080002,65.0,38.7
145,40.900002,65.0,32.5
146,39.189999,85.95,43.08
147,39.779999,59.0,40.9
148,41.279999,43.1,39.19
149,45.540001,39.78,39.78
150,55.970001,41.28,36.5
151,67.800003,45.54,41.0
152,86.510002,55.97,55.97
153,83.860001,67.8,67.8
154,82.440002,85.0,84.43
155,85.989998,85.0,83.86
156,84.709999,85.0,82.44
157,82.290001,86.43,85.99
158,78.620003,85.0,84.71
159,81.57,85.0,82.29
160,89.68,85.0,78.62
161,100.0,81.57,81.57
162,90.43,89.68,89.68
163,80.279999,99.91,48.0
164,66.800003,84.62,48.0
165,59.330002,77.79,48.0
166,58.259998,65.2,48.0
167,52.25,59.33,47.33
168,49.310001,58.26,58.26
169,47.380001,50.99,50.99
170,45.779999,49.31,40.0
171,44.509998,47.38,36.85
172,45.689999,45.78,35.0
173,50.330002,44.51,35.0
174,59.709999,45.69,36.0
175,79.559998,50.33,45.0
176,103.540001,59.71,54.0
177,107.800003,79.56,54.0
178,107.32,103.54,53.54
179,104.260002,107.8,50.0
180,99.910004,107.32,48.0
181,95.269997,104.39,52.02
182,92.720001,100.04,99.91
183,95.419998,95.37,48.0
184,95.0,92.72,48.0
185,110.0,95.42,43.35
186,99.949997,95.0,43.35
187,80.120003,110.0,44.0
188,64.239998,99.95,40.46
189,59.43,80.12,40.46
190,56.220001,61.48,40.64
191,51.75,59.43,44.0
192,50.669998,56.22,35.0
193,48.599998,50.48,35.0
194,48.02,47.58,47.58
195,49.25,47.04,47.04
196,49.630001,46.48,46.48
197,47.77,47.67,47.67
198,49.57,48.04,48.04
199,53.82,47.77,47.77
200,59.799999,48.26,45.0
201,66.919998,52.16,52.16
202,67.709999,58.11,48.0
203,68.0,64.68,46.0
204,67.010002,65.61,46.0
205,62.529999,79.0,49.0
206,60.0,90.0,64.97
207,60.0,79.0,60.55
208,62.779999,62.84,58.14
209,69.919998,72.0,60.0
210,71.989998,115.0,62.78
211,68.949997,134.42,69.92
212,62.66,200.0,69.69
213,55.189999,200.0,65.77
214,54.130001,85.0,49.93
215,44.93,60.0,47.95
216,38.84,50.0,43.47
217,35.970001,50.0,36.64
218,34.349998,50.0,38.84
219,33.869999,40.0,35.97
220,33.84,40.0,34.35
221,34.209999,39.5,33.87
222,34.029999,35.29,33.84
223,37.610001,35.66,34.21
224,39.09,35.48,34.03
225,40.759998,37.61,37.61
226,44.16,39.09,39.09
227,46.240002,40.76,40.76
228,44.759998,44.16,44.16
229,44.34,46.69,45.34
230,45.450001,44.76,44.76
231,48.029999,44.34,44.34
232,55.869999,45.45,45.45
233,62.09,46.67,46.67
234,63.41,50.72,50.72
235,55.240002,54.95,54.95
236,48.049999,53.34,53.34
237,44.490002,49.39,49.39
238,40.07,46.43,46.43
239,35.880001,44.49,44.49
240,44.900002,41.8,40.07
241,39.59,38.0,35.88
242,37.779999,40.6,40.6
243,35.43,39.59,39.59
244,37.290001,37.78,37.78
245,41.41,35.43,35.43
246,42.779999,37.29,37.29
247,60.240002,41.41,33.54
248,60.419998,46.28,42.78
249,49.619999,52.58,52.58
250,47.57,67.23,57.25
251,44.639999,58.0,50.45
252,43.330002,50.41,50.41
253,42.610001,50.21,50.21
254,42.049999,50.0,46.09
255,42.310001,50.0,45.06
256,43.279999,48.76,48.76
257,44.98,50.25,50.25
258,42.93,43.28,43.28
259,39.709999,44.98,44.98
260,37.110001,42.93,42.93
261,34.240002,39.71,39.71
262,33.209999,37.11,37.11
263,27.389999,34.24,34.24
264,19.43,33.21,33.21
265,15.82,27.39,27.39
266,19.0,19.43,19.43
267,24.139999,15.82,15.82
268,27.0,19.0,19.0
269,35.939999,24.14,24.14
270,40.959999,27.0,27.0
271,54.509998,35.03,35.03
272,60.639999,40.14,40.14
273,54.959999,54.51,54.51
274,56.5,67.0,60.64
275,57.880001,68.05,54.96
276,59.639999,65.0,56.5
277,54.939999,67.23,55.34
278,50.310001,53.0,50.1
279,54.23,48.05,48.05
280,61.5,48.04,48.04
281,64.120003,52.01,52.01
282,60.400002,61.06,61.06
283,53.580002,64.12,64.12
284,50.299999,60.4,60.4
285,40.709999,50.45,50.45
286,37.75,41.79,41.79
287,34.619999,40.71,40.71
288,33.029999,37.75,37.75
289,32.43,34.62,34.62
290,31.58,33.03,30.0
291,30.84,32.43,29.42
292,31.68,31.58,29.42
293,36.810001,30.84,28.78
294,41.869999,31.68,29.0
295,46.209999,36.81,34.0
296,56.139999,41.87,41.87
297,47.709999,50.28,50.28
298,46.23,56.14,56.14
299,43.82,52.05,52.05
300,41.220001,62.78,62.78
301,40.040001,64.12,64.12
302,39.470001,62.0,62.0
303,41.169998,64.1,37.0
304,45.91,62.86,36.2
305,55.490002,64.76,36.2
306,54.509998,68.47,68.47
307,48.099998,67.65,67.65
308,47.139999,69.39,69.39
309,40.880001,57.92,57.92
310,40.02,50.25,37.8
311,38.029999,50.47,41.0
312,37.299999,46.35,35.0
313,36.91,38.03,33.0
314,36.98,44.16,31.0
315,39.439999,44.17,26.0
316,42.16,36.98,26.0
317,45.34,39.44,30.0
318,58.599998,45.87,32.0
319,81.339996,80.04,34.0
320,91.0,82.36,82.36
321,89.269997,121.63,39.0
322,89.629997,91.0,91.0
323,91.050003,89.27,40.0
324,88.910004,89.63,40.0
325,89.239998,91.05,48.01
326,86.040001,89.14,88.91
327,91.209999,92.0,89.24
328,99.940002,86.04,86.04
329,103.139999,99.07,99.07
330,92.379997,99.94,99.94
331,87.699997,103.14,81.14
332,74.580002,92.38,92.38
333,62.740002,87.7,38.0
334,59.82,74.58,38.0
335,55.599998,62.74,39.0
336,48.98,101.0,62.01
337,48.66,100.81,55.6
338,47.700001,70.0,48.98
339,46.599998,70.0,47.49
340,48.0,68.0,46.22
341,51.52,60.0,45.3
342,62.970001,59.0,46.85
343,79.860001,142.0,109.92
344,96.639999,142.0,109.91
345,100.160004,999.0,80.04
346,99.940002,365.0,96.64
347,89.110001,520.0,100.16
348,81.199997,520.0,99.94
349,78.519997,300.0,89.11
350,79.040001,230.0,81.2
351,78.870003,158.0,78.52
352,84.019997,79.04,79.04
353,99.5,78.87,78.87
354,98.019997,500.0,84.02
355,95.010002,195.0,99.5
356,77.199997,120.99,98.02
357,67.18,134.43,95.01
358,63.189999,78.0,77.2
359,55.419998,67.18,67.18
360,53.09,63.0,62.62
361,51.650002,56.1,53.7
362,49.880001,77.31,53.09
363,49.84,77.27,51.65
364,49.509998,67.21,49.88
365,48.52,60.0,48.45
366,48.740002,57.0,48.09
367,51.43,57.0,47.35
368,60.0,60.0,48.0
369,63.959999,66.92,51.43
370,63.77,110.0,78.64
371,62.130001,100.0,79.92
372,55.009998,76.74,76.74
373,50.66,73.36,73.36
374,49.48,73.39,40.0
375,50.650002,85.22,38.0
376,59.119999,51.98,36.0
377,65.010002,73.31,36.37
378,66.400002,81.24,40.0
379,63.759998,79.92,79.92
380,57.470001,73.4,73.4
381,52.98,63.76,63.76
382,53.200001,57.47,57.47
383,48.169998,52.98,41.4
384,46.490002,60.0,51.92
385,44.82,56.0,48.17
386,44.990002,54.0,46.49
387,45.540001,52.34,44.82
388,45.799999,44.99,44.99
389,45.419998,44.98,44.98
390,45.700001,44.38,44.38
391,46.5,44.33,44.33
392,47.419998,45.34,45.34
393,51.130001,46.5,46.5
394,56.5,47.42,47.42
395,59.939999,60.0,51.13
396,55.509998,54.75,54.75
397,52.82,58.08,58.08
398,49.950001,54.58,54.58
399,53.48,52.82,52.82
400,60.599998,49.95,49.95
401,67.050003,56.96,56.96
402,72.0,60.6,60.6
403,67.779999,67.34,67.05
404,62.450001,72.29,72.0
405,55.560001,67.78,67.78
406,52.130001,62.45,62.45
407,46.900002,55.56,43.0
408,43.849998,52.13,43.0
409,45.830002,46.9,41.93
410,45.59,47.06,43.85
411,45.939999,47.06,44.37
412,44.830002,47.06,44.13
413,46.439999,47.0,44.47
414,59.720001,47.0,44.83
415,74.529999,58.93,58.93
416,78.919998,73.24,73.24
417,75.650002,90.0,75.77
418,72.029999,90.0,78.92
419,66.389999,75.94,75.65
420,60.060001,72.46,72.46
421,57.700001,70.51,70.51
422,59.41,70.38,70.38
423,57.389999,174.79,71.19
424,54.540001,200.0,70.27
425,59.939999,200.0,72.22
426,55.080002,160.0,74.97
427,51.419998,128.0,76.99
428,46.970001,100.0,72.52
429,45.630001,63.24,41.0
430,42.950001,50.88,37.0
431,37.830002,51.97,38.0
432,36.75,78.8,46.92
433,35.939999,37.83,35.0
434,34.740002,36.75,36.75
435,35.959999,39.0,35.94
436,36.700001,39.0,34.74
437,38.139999,39.0,35.96
438,41.59,39.0,36.7
439,46.68,119.0,55.1
440,56.5,85.0,74.29
441,54.5,84.94,84.94
442,52.73,79.22,79.22
443,54.5,74.29,39.0
444,52.209999,74.25,39.2
445,52.110001,72.63,43.0
446,52.369999,71.5,71.5
447,51.34,71.5,71.5
448,51.889999,74.29,74.29
449,56.040001,81.26,81.26
450,52.75,81.26,81.26
451,45.389999,74.2,74.2
452,41.41,74.23,74.23
453,39.75,52.66,52.66
454,36.66,50.0,41.41
455,31.23,48.37,48.37
456,30.33,36.66,36.66
457,28.4,31.23,31.23
458,27.27,32.5,30.33
459,26.77,33.0,28.4
460,28.85,32.0,27.27
461,31.91,32.0,26.77
462,35.700001,32.0,28.85
463,40.09,34.46,34.46
464,41.25,54.67,54.67
465,38.900002,62.82,62.82
466,38.009998,73.55,73.55
467,37.950001,73.41,73.41
468,37.919998,81.25,81.25
469,36.84,81.23,81.23
470,36.799999,77.5,77.5
471,37.990002,73.4,73.4
472,39.330002,77.48,77.48
473,50.16,81.26,81.26
474,56.139999,81.3,81.3
475,39.34,81.28,81.28
476,35.689999,73.25,73.25
477,32.189999,50.06,50.06
478,29.49,35.69,35.69
479,25.299999,32.19,32.19
480,24.85,29.49,29.49
481,21.49,25.3,25.3
482,20.85,24.85,24.85
483,19.969999,24.21,21.49
484,21.51,24.21,20.85
485,24.58,24.21,19.97
486,27.469999,21.51,21.51
487,35.32,31.74,31.74
488,37.23,48.95,25.0
489,35.290001,48.9,28.0
490,33.009998,44.02,33.0
491,33.380001,44.58,27.1
492,33.689999,48.05,27.1
493,35.34,48.99,28.8
494,36.220001,47.74,28.0
495,36.610001,47.66,27.0
496,37.93,47.75,27.0
497,39.52,49.67,27.0
498,37.220001,50.01,29.01
499,35.709999,49.18,34.0
500,32.009998,49.2,49.2
501,30.08,35.71,33.0
502,27.43,32.01,28.0
503,24.09,30.08,25.14
504,12.45,27.43,25.0
505,13.92,24.09,24.09
506,11.08,12.45,10.1
507,11.8,13.92,-0.39
508,19.48,11.08,-3.36
509,26.93,11.8,-3.1
510,32.23,19.48,-3.1
511,37.66,51.6,26.93
512,41.509998,53.0,31.45
513,39.619999,36.76,36.76
514,38.619999,44.0,41.51
515,37.459999,45.53,39.62
516,36.389999,44.0,38.62
517,35.830002,37.46,37.46
518,35.27,36.39,36.39
519,35.18,35.83,29.1
520,35.709999,35.27,27.0
521,36.220001,35.18,27.0
522,35.470001,35.71,27.12
523,33.349998,36.22,29.0
524,29.33,35.47,29.0
525,27.83,33.35,26.5
526,26.77,29.33,25.0
527,25.4,27.83,24.0
528,25.85,26.77,20.0
529,24.969999,25.4,17.31
530,29.790001,25.85,17.65
531,30.32,24.97,24.97
532,31.25,24.94,24.94
533,32.25,26.01,26.01
534,42.400002,27.2,27.2
535,45.880001,30.37,30.37
536,50.0,30.87,28.0
537,56.919998,33.83,29.92
538,58.150002,35.5,30.0
539,58.950001,36.2,30.0
540,56.630001,37.33,30.06
541,52.0,37.75,31.86
542,51.0,37.89,31.0
543,53.650002,37.98,31.0
544,58.299999,38.21,30.43
545,63.09,39.67,31.0
546,66.129997,56.49,32.17
547,63.290001,61.58,34.14
548,58.16,63.03,35.1
549,52.799999,57.66,36.0
550,51.200001,41.01,35.0
551,47.18,39.04,35.0
552,44.799999,39.0,37.38
553,40.669998,38.56,36.48
554,41.240002,38.72,37.87
555,40.240002,37.91,37.91
556,39.779999,37.82,34.5
557,39.900002,37.88,34.0
558,40.560001,38.12,34.0
559,41.970001,38.74,34.2
560,46.0,39.35,34.3
561,50.540001,40.66,36.3
562,53.09,44.55,36.3
563,54.34,48.99,36.3
564,51.860001,51.44,35.82
565,45.990002,54.34,35.82
566,44.34,51.86,35.0
567,45.93,45.99,34.0
568,52.0,44.34,34.0
569,61.98,45.93,35.82
570,65.0,52.0,35.82
571,62.91,61.98,36.3
572,59.299999,65.0,36.81
573,55.759998,62.91,39.2
574,53.93,59.3,40.0
575,47.889999,54.9,40.0
576,46.619999,52.0,51.9
577,43.09,45.0,44.06
578,43.0,46.0,36.0
579,42.59,41.76,35.71
580,42.200001,41.22,35.82
581,45.66,40.56,36.78
582,61.950001,41.36,36.78
583,70.0,45.66,36.3
584,75.620003,63.86,36.3
585,79.669998,70.0,70.0
586,74.949997,75.62,75.62
587,72.199997,79.67,79.67
588,69.019997,74.95,74.95
589,67.0,72.2,41.0
590,65.910004,69.02,41.0
591,66.010002,67.0,41.0
592,67.349998,84.0,65.91
593,73.459999,84.0,66.01
594,71.5,79.97,67.35
595,65.07,73.46,73.46
596,62.52,71.5,71.5
597,55.259998,65.07,65.07
598,50.119999,62.52,62.52
599,41.02,55.26,55.26
600,50.950001,60.0,50.12
601,49.57,46.46,40.54
602,46.900002,46.95,42.58
603,44.689999,46.5,42.32
604,46.099998,45.5,42.2
605,49.799999,41.78,38.0
606,58.560001,44.07,38.0
607,70.75,49.8,38.0
608,73.949997,67.14,38.0
609,71.730003,70.75,38.0
610,73.910004,73.95,39.0
611,72.0,71.73,39.0
612,70.0,73.91,39.0
613,65.910004,72.0,40.5
614,66.330002,70.0,70.0
615,68.150002,65.91,40.5
616,68.75,66.33,39.0
617,73.730003,68.15,39.0
618,70.360001,68.75,39.0
619,63.150002,74.05,44.5
620,60.490002,74.0,70.36
621,54.93,63.4,63.15
622,51.049999,60.49,60.49
623,46.560001,54.93,40.0
624,45.700001,51.05,40.0
625,44.040001,45.03,45.03
626,42.610001,45.7,45.7
627,42.040001,44.04,44.04
628,42.200001,42.61,42.61
629,45.0,41.58,37.0
630,51.25,42.2,35.0
631,62.040001,45.0,35.0
632,66.790001,51.96,35.0
633,66.120003,62.04,37.0
634,65.470001,66.79,37.38
635,65.940002,66.68,38.5
636,65.779999,71.0,65.47
637,65.540001,71.0,65.94
638,65.839996,71.0,65.78
639,66.160004,66.0,65.54
640,66.129997,65.84,38.5
641,69.849998,66.16,38.5
642,70.480003,66.13,38.5
643,63.990002,69.85,40.09
644,59.639999,71.03,70.48
645,55.75,68.0,63.99
646,53.099998,68.0,59.64
647,48.389999,68.0,55.75
648,46.869999,65.49,53.1
649,44.93,48.39,48.39
650,43.830002,46.87,38.0
651,42.400002,44.93,38.0
652,43.639999,43.83,35.62
653,44.41,42.4,35.62
654,53.52,43.64,35.62
655,68.230003,51.94,35.62
656,72.519997,64.93,35.62
657,68.830002,68.23,38.51
658,67.690002,72.52,38.51
659,67.440002,68.83,38.51
660,62.810001,67.69,40.0
661,61.560001,67.44,41.0
662,61.060001,62.81,41.0
663,59.52,61.56,41.0
664,68.199997,61.06,38.5
665,80.07,59.52,36.5
666,69.769997,68.2,36.5
667,61.169998,80.07,38.0
668,55.669998,69.77,38.0
669,53.299999,61.17,39.0
670,51.02,55.67,40.0
671,45.509998,53.3,40.0
672,42.709999,51.02,40.5
673,40.84,45.51,40.0
674,39.369999,42.71,40.0
675,38.779999,40.84,40.84
676,39.380001,39.37,39.37
677,42.959999,40.0,38.78
678,47.169998,41.0,39.38
679,65.089996,43.41,37.0
680,73.389999,58.7,37.0
681,73.279999,65.09,65.09
682,68.760002,73.39,41.4
683,63.540001,73.28,41.4
684,62.689999,68.76,41.4
685,62.5,63.54,63.54
686,54.990002,66.56,62.69
687,51.939999,65.7,62.5
688,63.860001,60.51,54.99
689,66.449997,59.4,41.0
690,63.639999,63.86,41.0
691,59.380001,66.45,42.78
692,54.34,63.64,63.64
693,50.029999,59.38,59.38
694,45.900002,54.34,54.34
695,42.790001,50.03,43.4
696,42.330002,45.9,45.9
697,40.389999,42.79,38.74
698,39.049999,42.33,39.0
699,37.959999,40.39,40.39
700,38.080002,39.05,39.05
701,39.41,37.96,33.5
702,41.560001,38.08,33.5
703,43.349998,43.0,39.41
704,48.740002,45.0,41.56
705,57.73,52.0,43.35
706,57.810001,52.0,48.26
707,57.779999,57.73,57.73
708,55.130001,57.81,57.81
709,50.599998,57.78,41.0
710,47.990002,55.13,41.0
711,48.049999,50.6,40.0
712,56.580002,47.99,37.0
713,60.580002,48.05,37.0
714,61.650002,56.58,37.0
715,59.619999,60.58,40.0
716,52.779999,61.65,43.73
717,46.959999,73.95,59.62
718,46.98,68.44,52.78
719,42.299999,66.72,46.96
720,42.080002,56.0,46.98
721,40.98,42.3,42.3
722,40.509998,42.08,36.0
723,39.5,40.98,35.0
724,39.549999,40.51,36.0
725,40.619999,39.5,36.0
726,40.82,39.55,36.0
727,41.290001,40.62,36.03
728,44.849998,40.82,36.03
729,49.150002,41.29,37.0
730,50.73,44.85,40.5
731,51.139999,49.15,41.14
732,50.369999,50.73,44.44
733,46.43,51.14,51.14
734,45.950001,50.37,39.0
735,47.919998,46.43,37.07
736,52.919998,45.95,37.07
737,64.459999,47.92,36.8
738,63.880001,52.92,38.0
739,62.349998,78.0,64.46
740,57.990002,72.0,63.88
741,51.34,62.35,62.35
742,49.279999,57.99,57.99
743,45.360001,51.34,50.84
744,42.549999,49.28,41.0
745,40.98,45.36,39.0
746,40.939999,42.55,36.8
747,40.02,40.98,34.0
748,40.759998,40.94,34.0
749,48.310001,40.02,31.42
750,59.419998,40.76,31.42
751,149.949997,58.14,35.0
752,199.940002,64.96,64.96
753,165.789993,149.95,149.95
754,125.540001,200.0,199.94
755,67.18,168.71,165.79
756,66.040001,125.54,43.0
757,66.349998,67.18,41.57
758,78.449997,66.04,46.2
759,86.080002,66.35,43.73
760,140.020004,78.45,43.0
761,199.940002,86.08,43.51
762,119.029999,140.02,41.65
763,70.470001,199.94,41.64
764,62.290001,119.03,44.47
765,56.360001,70.47,44.47
766,55.25,62.29,44.47
767,49.400002,56.36,56.36
768,46.130001,55.25,54.75
769,45.049999,49.4,48.9
770,43.59,46.13,45.63
771,42.439999,45.05,45.05
772,43.98,50.0,43.59
773,47.720001,50.0,42.44
774,62.459999,48.0,43.98
775,116.5,56.3,56.3
776,152.25,67.0,64.94
777,119.43,116.5,116.5
778,100.080002,152.25,48.34
779,66.769997,119.43,46.74
780,63.990002,100.08,46.51
781,62.580002,67.2,66.77
782,64.43,72.0,63.99
783,64.75,80.0,62.58
784,78.940002,67.0,64.43
785,89.279999,64.75,48.34
786,66.010002,78.94,78.94
787,60.110001,89.28,89.28
788,51.189999,67.23,66.01
789,48.639999,61.91,60.11
790,46.540001,52.0,51.19
791,41.98,52.21,48.64
792,38.689999,54.5,46.54
793,37.529999,41.98,41.98
794,36.73,38.69,38.69
795,36.91,37.53,37.53
796,38.689999,41.0,36.73
797,41.23,41.0,36.91
798,45.040001,43.0,38.69
799,68.709999,113.0,47.12
800,84.839996,163.0,59.93
801,73.970001,142.0,68.71
802,84.879997,84.84,84.84
803,61.560001,73.97,73.97
804,59.889999,84.88,84.88
805,58.919998,75.0,61.56
806,50.07,88.0,59.89
807,49.009998,80.0,58.92
808,55.049999,60.0,59.94
809,68.879997,59.82,41.0
810,54.560001,60.26,41.0
811,50.860001,68.88,68.88
812,43.709999,68.53,68.53
813,41.790001,50.86,50.86
814,40.150002,44.0,43.71
815,36.93,48.0,41.79
816,34.950001,44.0,40.15
817,34.459999,43.0,36.93
818,33.939999,34.95,34.95
819,34.560001,34.46,32.48
820,36.970001,33.94,32.47
821,39.529999,38.5,34.56
822,48.32,36.97,36.97
823,62.709999,46.76,46.76
824,84.860001,227.79,67.53
825,80.089996,227.79,62.71
826,84.849998,227.79,84.86
827,60.029999,227.79,80.09
828,58.990002,150.0,84.85
829,60.060001,110.0,60.03
830,63.299999,110.0,58.99
831,63.369999,60.06,60.06
832,66.559998,70.0,63.3
833,100.940002,70.0,63.37
834,89.300003,70.0,66.56
835,67.510002,101.21,100.94
836,60.200001,90.0,89.3
837,54.220001,80.0,67.51
838,52.259998,60.2,60.2
839,46.220001,54.22,54.22
840,45.57,52.26,52.26
841,44.009998,46.22,46.22
842,42.240002,45.57,45.57
843,41.200001,44.01,44.01
844,41.5,42.24,35.0
845,43.740002,41.2,34.0
846,74.589996,41.5,34.0
847,170.550003,59.43,37.0
848,200.020004,74.59,74.59
849,197.220001,170.55,170.55
850,180.220001,200.02,46.1
851,69.660004,197.22,41.4
852,64.480003,180.22,46.03
853,64.599998,69.66,46.1
854,64.919998,64.48,46.1
855,64.230003,64.6,45.94
856,67.470001,64.92,46.2
857,89.220001,64.23,44.43
858,72.080002,67.47,43.0
859,58.869999,89.22,43.0
860,51.099998,72.08,43.46
861,49.889999,58.87,42.0
862,48.490002,51.1,40.0
863,43.580002,49.89,39.89
864,40.68,48.49,40.0
865,39.959999,43.58,39.0
866,39.27,40.68,40.68
867,38.650002,39.96,37.0
868,38.919998,39.27,34.0
869,39.91,38.65,33.0
870,40.77,38.92,33.0
871,41.869999,39.91,33.0
872,42.919998,40.77,34.0
873,50.02,41.87,35.0
874,55.650002,42.92,35.84
875,53.16,50.02,37.49
876,50.110001,55.65,41.0
877,48.310001,53.16,42.0
878,46.630001,50.11,50.11
879,46.790001,48.31,40.0
880,48.040001,46.63,37.0
881,62.130001,46.79,34.0
882,58.34,48.04,33.0
883,47.91,62.13,36.0
884,42.459999,58.34,58.34
885,41.490002,47.91,41.0
886,40.709999,42.46,38.0
887,39.630001,41.49,34.0
888,40.009998,40.71,32.0
889,38.59,39.63,32.5
890,37.919998,40.01,33.3
891,36.970001,38.59,33.5
892,37.240002,37.92,29.0
893,38.419998,36.97,28.62
894,38.130001,37.24,24.0
895,38.700001,38.42,24.0
896,40.540001,38.13,26.1
897,41.43,38.7,30.0
898,41.709999,40.54,32.0
899,41.790001,46.2,41.43
900,41.700001,48.0,41.71
901,41.400002,48.0,41.79
902,40.82,44.63,41.7
903,40.939999,41.4,41.4
904,42.060001,40.82,40.82
905,44.759998,40.94,40.94
906,45.650002,42.06,42.06
907,44.080002,47.54,44.76
908,41.740002,45.65,41.06
909,41.560001,44.08,37.0
910,40.759998,41.74,35.0
911,38.830002,41.56,33.0
912,40.060001,40.76,33.0
913,39.419998,38.83,33.0
914,39.0,40.06,35.0
915,39.25,39.42,33.3
916,40.52,39.0,30.0
917,44.650002,39.25,29.0
918,46.150002,40.52,30.0
919,67.150002,55.34,36.5
920,82.339996,64.91,64.91
921,80.010002,67.15,67.15
922,69.910004,82.34,82.34
923,65.019997,80.01,44.0
924,62.200001,69.91,44.0
925,58.84,65.02,44.0
926,50.080002,100.0,62.2
927,56.32,100.0,62.08
928,56.41,64.1,64.1
929,75.0,63.23,45.72
930,69.900002,65.06,45.72
931,63.139999,75.0,45.72
932,55.560001,69.9,49.0
933,49.830002,64.77,44.0
934,47.93,62.27,43.07
935,45.02,54.7,48.2
936,46.68,47.93,39.0
937,46.5,45.02,39.0
938,46.470001,46.68,40.5
939,46.049999,46.5,40.5
940,46.400002,46.47,42.0
941,47.970001,46.05,41.0
942,58.16,46.4,41.0
943,83.580002,66.32,66.32
944,109.870003,83.5,53.0
945,87.0,83.58,53.0
946,81.949997,109.87,43.18
947,75.510002,87.0,47.0
948,71.610001,81.95,49.0
949,70.260002,75.51,75.51
950,70.370003,71.61,71.61
951,71.82,70.26,70.26
